Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Customer feedback examples
positive,nice black,42,8,"black is sexy and i could live fine knowing she loved it,wonderful bags i ordered black color and it seems amazing i loved it,the material is thick and perfect and i really like the shade of black that they have chosen,due to its black in color it matches with most of the clothes and also the decorations with golden color increases its beauty,i ordered the black one and i must say all the three bags are so good"
positive,carry lunch box,17,5,"perfect for carrying lunch box and bottle 1 ltr,very spacious we can carry lunch box snack box water bottle a wallet and few more items,bag is very nice for lunch box and water bottle,very good for carrying for lunch boxes and daily use products,very useful as good size lunch bag"
positive,design and material,39,10,"material and design is also good,very good quality product material and design,it is very stylish and have been used good materials,very good design and material,design and material are good"
positive,color n size as shown,14,4,"color n quality n size as shown in pictures,superb quality and same color n size as shown in the pic,the color n size looks like the same as shown in picture,same color n size as shown in the picture,its exactly the same size n color as shown"
positive,carry daily,30,7,"very good for daily purpose can carry so many things,i carry it every freaking day it holds so much stuff,out size is also perfect you can carry all your daily needs in one go,it help to carry daily routine stuff,i can carry it for one day travel"
negative,belt is damaged,97,37,"it is damaged from side of the belt,item is damaged on belt side,the belt is damaged from corner,its damage product on belt side,there is some damage in belt"
positive,excited for this product,232,64,"the quality and quantity is really nice and i absolutely love it,good product i loved it,getting after she liked it very much wow,every thing is awesome in this u can go for it guys,i love this very useful for me"
negative,hand bag,142,26,"i order hand bag but you sent kit bag,is this the hand bag what we have ordered,the 3rd picture shows how the bag was received,in the image it is showing handbag,it is different i order bag pack but it comes hand bag"
positive,smooth finish,44,12,"the inside outside material is of fine quality and smooth to feel,the quality of the material is soft and very smooth to touch,the inner outer material was very smooth,awesome one material is so soft smooth finish,the texture is smooth as well"
negative,upset with this situation,99,39,"it looks like somebody has used it annoyed,because of this i am very upset,we are so upset for your returning process,really not happy to look this,im extremely upset and annoyed"
positive,nice small bag,149,34,"nice bag but little small though good for those who are looking for a small bag,the small bag provided with it is also wonderful,i want a small bag this one suits my expectation,small purse loved it best purchase must buy for comfort design quality quantity,very nice this bag i order small bag but its came big it is nice i am using"
positive,good capacity,25,,"it is good in capacity and everything is nice,looks good and its capacity is also good,capacity is really good,great quality and capacity,capacity is good too"
negative,zips are less,68,31,"it is damaged and its zip size is less,main zip is placed at a lower level than the two side zips,zips are very less and comparably small bag,there is very less zip,zips are not so many"
negative,color is different from pic,597,213,"even the color seen in the pic is different,also its of different color from what is shown in the pic,the color in the pic and real color is very different,color and material differ as in pic and description,color in the pic is different as to what received"
negative,not bright,32,2,"it is not bright as seen in the image,does not look bright in real,very pale in color not bright like image,it is not bright as shown in pic,my photos wont do justice due to lighting"
negative,looks like duplicate,231,37,"looks like a duplicate copy of lino,item supplied is second copy or may be duplicate,i already have the original so i know its totally duplicate,item got duplicated as got same 2 pieces,in first look we are concluded thats duplicate"
negative,received incomplete item,245,117,"missing item also different from what was ordered,different from item ordered partial quantity was missing,different from item ordered 1 quantity is missing,part or accessory missing from product box price is not available,different from item ordered partial item missing"
negative,not sturdy,481,148,"not flexible and can not accommodate even basic stuff,it is not sturdy neither spacious,it is not durable and seems like showpiece,not durable and not as i expect,also it us not sturdy"
positive,spacious and stylish,68,21,"must buy as it is very fancy and spacious,ok to purchase for a decent look and spacious aspect,its spacious as well as stylish,spacious at the same time stylish,very spacious and elegant must buy"
positive,good stitching,156,40,"as it is amazing beautiful extremely good stitching work very nice,the material and design is good and stitching is also good,excellent stitching and the inner bag is also good,stuff is good strong and sturdy stitching also up to the mark,the design pattern and stitches are all so nicely done that it looks like one masterpiece"
negative,strap is not good,380,102,"item was not good and i didnt get strap also,the strap is not stitched properly doesnt look in a good condition,when the secondary strap is used primary straps were not looking good on me,straps are not strong very poor product not useful,strap was not in a proper shape giving it a bad look"
negative,not as per description,123,42,"it wasnt mentioned in the description,as not like in the description,not looking as per description,quality is not as per as description not good quality,not as per the description"
negative,stitching is open,158,53,"its stitching is getting opened from the sidway of the beg,i saw that its stitch was opening from many places,first thing the stitch around the opening has opened up,stitching thread is going to be open from front,the stitch is open at the back"
positive,looks classic,40,15,"it has a classic look very nice product,its a great use and looks classic,good quality and looks classic,kept it by its classic rich look,looks very elegant and classic"
positive,green color,24,7,"best product can buy this product without any doubt color green is same as in pic,the color green is the best as i ordered it and it looks fabulous,green color looks very rich and the material quality is also nice,the color is perfect green on the darkest side,green color is awesome looks very elegant"
positive,soft material,315,60,"must buy this product very pretty and very soft,nice product same as pic quality is good material is soft,this is a very good product very soft and fury as per the image,very soft handles and color is very soothing suits any fashion,it is made from a very nice soft stuff"
positive,zips and compartments,18,3,"it is big enough to store all the required stuff with extra pockets and zips,all the zips were good spacious compartments easy to carry,awesome a beautifully designed hand bag with three zipped compartments,very cute spacious bag which has many zips to fit the always wanted things,multiple compartments with very good quality zip"
positive,leather quality,910,167,"excellent product and quality of leather is too good vfm,the product is absolutely same as shown and the leather quality is amazing,the leather is of good quality and the stiches are perfect,i loved the product and the leather quality is too good -,used good quality leather color same as shown in the picture nice"
negative,worn out stitching,33,12,"the product looks very old and stitching is worn out from corners,with stitches visible and stitched area of haldles worn out,4 - looks old and used as the logo stitched to it is fading and nearly rusting,worn out stitching at bottom,the stitches are worn out"
positive,red color,38,7,"very nice bright red color as shown in the picture size is appropriate neither too big nor small,i love love it so much color is awesome red i like it,actually it was nice product and i purchased red black combination,rich red color and attractive look which made me to buy the bag,still inside of it is red which looks good"
negative,loose material,63,16,"its very loose even after putting stuff in it,after looking this it looked beautiful but after receiving it is very loose type of material,here and there there is loose stretches,one of the screwed seemed very loose,quality is very loose"
negative,dark color,272,89,"moreover it has many dark spots making it too much untidy,it used and there are so many dark spot on it,moreover there are many dark spots making ut untidy enough,its been used there are dark spots on the belt as well not a fresh product,color is also very dark unlike shown in pictures"
negative,material is not good,6393,2458,"item does not look good and material is also not worth it,the quality is not good and even material is not good,material is not good and it doesnt look good either,its not of good quality and material hard not good want to return,what is showing its not perfect and material is also not good"
positive,good condition,191,61,"i must say that the quality is very good and very much reliable,good quality and received in good conditions,its a helpful product and with good condition,the quality seems decent at the first glance lets see how it performs,received it in a good condition"
negative,purse design,168,68,"in this picture its shown that there are holding belt in purses,the purse is pressed from the bottom even after leveling it remains pressed,its roughly type of purse,i want diff type of purse,handles of the purse is unstitched"
negative,color design,1103,288,"color is deemed and it looks someone has used it,color from the material is coming off,actually show color site something but really some,color difference as in image than reality 2,color showed in pic and real has huge difference"
negative,dust on product,192,32,"even after that the item is covered with dust and defected,it looks like used dirty and lots of dust,it is like used product dust on it,its a used piece with chips off and dust and all,the item ie the bag when received had dust on it"
negative,small pockets,231,70,"its too small n front pocket is too narrow to accommodate anything,overall size is too small and also the pocket is very small,due to small outer pocket i have returned it,very small in size as well as pockets,back pocket is very small size is also small"
positive,looks luxurious,31,9,"the whole combo is in vogue and gives u a lavish look,look wise its a classy timeless piece which will last me a lifetime,gives you that feel of luxury like any expensive brand,look classy and expensive and i liked it very much recommended,this is so sophisticated and luxurious"
negative,short length,551,155,"its so long in image but i got it it is too small,its very short gap also too short thats y return it,there is no other place and length is short,width and length are short so returning,its too short and not comfert"
positive,trust worthy,23,6,"u can trust n go for it,trust me on that front,is a trustworthy brand,we are trusting u,i just wish it goes fine"
positive,color and material,95,27,"it is the same what i expected in the form of color and material,material is too good also color is amazing really like it,very good material and color and everything as described,it is good in material and nice in color,i love this color n really good quality material is also nice"
positive,good finish,348,75,"as it is shown in image wonderful quality and finishing,it looks very descent and finish is so good,finishing is very fine and the stuff is really good,brilliant finishing and look - n - feel,about tis product finishing s too good over all superb product"
negative,hook is broken,121,43,"it is stained and the hook is also broken,its damaged and hook is broken,item is faulty part of the hook is broken and missing strap is broken,a hook was discovered to be broken,the hook of the handle is broken"
positive,spacious to carry,27,4,"its quite spacious and thus fits all the needful items that you would want to carry with you,the color is so eye catching and its enough spacious for all thing to carry,spacious enough to carry everything you need,very spacious to carry more items,spacious enough to carry the necessary things"
negative,faded from many areas,83,32,"its faded as if it has been used,the color is much faded than it looked in the picture,faded material cuts in the fabric and used look,the color is faded from somewhere having white spots,faded from many areas sharp fold line"
positive,good formal,39,3,"for formal as well casual look it really suits your personality,elegant stylish goes very well for formal as well as informal look,will look great with chic or semi formal looks or semi casual,can use it with formal wear as well as with party wears,perfect size perfect color formal and stylish at the same time"
positive,fits everything,47,9,"it fits all of my essentials comfortably,look is perfect for all age group,it is very good suitable for me,every things was so nicely placed,its same as it is and perfect for me"
positive,can blindly go,29,7,"its just awesome guys just go for it blindly,we can blindly go for it,u can blindly go for it,super product you can buy it blindly,any one can purchase blindly this product"
negative,no inner lining,398,138,"there is no inner lining at all,this is not the item which was showed in images,its not hide sign at all,its not quilleted first of all please,there is no inner lining cloth in the inner side"
positive,gold color,23,7,"nice vibrant gold with a slightly textured surface,i ordered for gold color but i got brown color but still i am happy with the product,the gold detailing makes it really pretty,magnificent piece with nice finishing the gold color is grand but not gaudy,gold color is looking good in picture"
negative,less space,226,82,"also the space is very less,therefore the mouth open very little and hence the space is reduced,not good and less space,inside space is very less,inside space is very less"
negative,zip quality,1317,457,"product quality is poor plus only 1 zip,material quality poor and zip quality also very poor,poor product quality zip not closing fully it is open,the zip quality is very low that it doesnt work or not closing properly,this is having only one shape and zips or very very bad"
negative,no brand mentioned,142,54,"not inclunding any brand info or logo even,issuing as ari said no action,i didnt t linked it at all,no brand name mentioned no slips nothing,previously request for return no any response from your end"
positive,lavie product,65,15,"lavie is a good brand one must go for,lavie from my previous experience is a good brand,with the brand of lavie this bag has lot to give for a woman who liked it and loving it,quite spacious with lavie brand over it,after all its good one in lavie"
negative,bad quality,6425,2142,"doesnt look good as looked at quality is also not satisfied,quality is not good and not expected this bad,quality is not at all good and did not like it,the stiches are opening and the quality is not good,the look was not up 2 the mark n its quality is not satisfactory either"
negative,deserve a star,21,6,"was not supposed to give even one star,not even worthy for 1 star,even doesnt deserve 1 star also,there is no option to give zero star so i have to give one star,it doesnt have a star"
negative,old bag,695,185,"didnt ike the look also the bag is old fashioned so returning it,also the bag l received is old and has stiches on corners,it seems like the bag is too old or its used,has stains on the bag n also looks very old,the metal zip holder is looking very old and bag is also looking very old and looks used"
positive,favorite brand,20,,"one of my all time favorite brand,this is one of my latest favourite,it is my favorite among all,one of my favorite purchases,oh this ones my favourite too"
negative,leather quality,869,295,"said leather but not leather unfinished item very bad quality,it is neither leather nor durable as mentioned in the product description,the quality of the surrounding leather is a folded line,the leather part is distorted and dirty,leather / rexeen tearing looks damage or poor quality"
negative,strap size is small,231,104,"strap size very small and product color is of different color,the sling strap is too small an uncomfortable to wear,straps are too small to hand around the arms,the strap length was too small and non adjustable,bag is too small n too narrow i want to return this bag"
negative,product color is not matching,56,23,"color of the product looks different which is not looking good to me,color and quality of the product is not matching with the picture shown,color of the product and quality does not match from website photo,color is not matching what we have seen on the product while buying,color not match look like different product"
positive,medium size bag,22,4,"very nice medium size bag for all purpose use,go for it if you wish to have a medium sized bag,its a nice medium sized bag not too small or not too big,i say its a medium size lovely bag,exactly a medium bag who are looking for"
negative,normal size,30,9,"since i wanted a normal size i had to return it,please mention the correct size of the items,i was expecting the normal size,i thought it would be a normal size bag,i need normal size for official use"
negative,color not same,903,280,"the color of the item does not match the image,not look like a mentioned photo color is totally different,does not look what i saw color is different,item is damage and also color is not same,color and the material is not shown as in the image"
positive,space for all your essentials,13,2,"it has enough space for all of your essentials,has space for almost all the essentials,fits all my essentials including my large phone,i can fit all my cards and passbook or passport,more than enough room for all the things"
negative,not the original baggit,38,1,"also it seems that its not an original baggit product,this is not original product from baggit,not an original baggit bag duplicate order received,this does not look like a baggit product,this is not original baggit product"
negative,no compartments,183,76,"does not looking good there is not any compartment in side,there are no compartments in the item,both items doesnt have any inner compartments,there are no compartments looks priced for this,its not have any pockets and sections for various items"
positive,original product,178,27,"product is original looks as it is as displayed,the quality is up to the mark and original product exactly seems like the one shown in images,very good quality elegant style and company logo looks original,the last time i ordered i got an original product,this is 100 % original product same as the picture"
positive,stylish and quality material,26,11,"stylish and material also very nice,stylish and good quality material,good material stylish and as excepted,very nice product stylish with good material,it is so stylish and so well in western as well as indian outfit"
negative,zip is not closing,124,42,"the main zip is getting stuck while opening or closing,not looking good and zip is not closing fully,items are coming out of the bag as zips are not fully stitched till the end of the bag,the holder can not be operated with zip closed,the zip in the bag isnt working / closing"
negative,need another color,140,51,"color different as shown i need another color,i had requested for another color,you have sent another color,i want to take another color,please send another internal color if available"
negative,no safety,114,38,"this is none of my use,its not good and no safety,it doesnt have safety at all,no safety of it at all,it will not be useful for me"
positive,exactly what i wanted,32,12,"what i wanted i got exactly the same,exactly like i wanted it to be,it turned out the way i wanted it,exactly the same which i want,yeah good exactly like what i thought"
positive,is specious,57,12,"it fulfill my needs and very specious,its quite specious and good product,inside its specious,i was searching this kind of an amazing and spacious bag since long time,the bag is quite specious"
negative,ordered another one,115,37,"have received something else and i have ordered something else,i have ordered something else and i got this,i have ordered one thing and received another thing,i ordered for this back and got something else,i ordered this product and i got something else"
negative,used product,1192,381,"i got a used product and also it is not the same,it seems like a used product delivered to me,it looks like it is a used one product,product i received is not as shown on site and also looked like its a used product,moreover the product looks like a used one"
negative,no tag,303,103,"not up to the mark also there is no tag,there were no labels or any tags attached to this,there was no tag / labels attached fyi,there is no tag attached and seems used with scratches and marks,different item received no tag attached please do the pick - up"
positive,carry lot of stuff,106,20,"really a must have who have to carry many things,i carry a lot of things and it holds them really well,have large capacity and can carry lot of stuff together,as it is very specious to carry all the items,it has high carrying capacity and can carry many things"
positive,shown in picture,2120,456,"looks exactly the way it was shown in the pictures,it is exactly the same as shown in pics,like everything about it its as shown in the picture,it was exactly the same as shown in the picture,look is the same as shown in the picture"
negative,button is broken,89,34,"item is damaged and buttons are broken,button broken and found in the packet,one of its button is broken and inner clothes are looking dirty,the front button is broken its not closing,one of its huck button is broken and there is hole inside the smaller packet"
negative,size is not suitable,859,302,"does not good size is big not suitable for me,size is not good does not good look o me,size is not appropriate n quality is also not up to the mark,the size is not suitable and not comfortable also,the size is not suitable and fit for my usage"
negative,sling is broken,52,22,"sling is broken and some item is missing,clip of the sling is broken,when i opened the item it was already damaged and the sling was broken and it had broken,one side of the sling is broken,hanging band is broken from one end"
negative,zip was torn,102,36,"it is torn on the side of the zip,the item is damaged zip gone and tore,its a used product and the zip is torn out,in the corner of middle zip the product is torn and even side sewing is damaged,the cloth near the zip area inside is torn"
negative,already paid,36,5,"already paid for both the items,as i already paid for the gifting price what is the problem,my money already paid but no item i having,i have already paid for this,i already paid the full amount"
positive,beautiful embroidery,23,1,"the embroidery matches the print of the cloth - a very good piece of artist,the embroidery on this bag is very eye catching and beautiful,quality and very spacious bag i like the embroidery work of the bag,very good product good quality and nice embroidery,bag is as shown in the picture quality is good embroidery work on the bag is excellent zip quality could be better delivered on time tried to upload real bag image"
positive,good space,363,83,"worth every rupees superb bag loads of space beautiful material and colors,it looks very good and it has good strong space,it is very good enough space and quality is also very well,a must buy to gift anyone also it has good space,good space and very good look also"
positive,stable product,13,8,"very steady and of good quality,sup fine this protect was very fine,smart look and very stable,the material is good and steady,but must be maintained safely"
negative,not genuine,214,64,"not liked and it seems not good,it seems not genuine at all,does not look that great in reality,not as expected not good quality and not as good as presented,not as good as it appeared"
positive,value for money,8601,2240,"using it from a year good quality value for money,really it is value for money and the best product,so looking after the money i will say this is amazing,liked the quality and must say that it is a value for money product,value for money no doubt about quality go for it"
negative,send a fresh piece,55,22,"so requesting you to provide a new one,please exchange this item and send a fresh one,so i returned and asked for a new one,please send me a fresh piece,please exchange and replace with new one"
negative,bag leather is damaged,19,5,"the leather in the design in front of the bag is damaged,the leather is torn at the bottom and 2 more holes are there color of the bag is dim compared to color in picture,the bags leather was damaged on one side,bags leather is damaged from the corner,bag leather is damaged due to packing fault there is a line at bag due to folding"
positive,exceeded expectations,115,35,"one thing i would like to say that what i was expected its beats my expectation,didnt expected this will satisfy all my expectations,i found it more than expected in this price,i got more than wat i had expected,i had huge expectations finally end up with this"
negative,cracks on the surface,41,14,"its a line of crack in front it s not plain,item has crack lines on it,down upper side is cracked and damaged,crease and crack lines clearly visible,theres crack type line in the front"
negative,cheap quality leather,279,125,"the product appears of cheap quality leather and the product image is completely contrasting from the reality,the stitches are coming out and leather quality is also so cheap,product is made of very cheap leather color is faded,the product quality is very poor as cheap leather has been used,even the belt straps are sticky around the edges and leather material used is cheap quality"
negative,plastic bag,92,30,"its clearly used even after replacement and again came in a plastic bag,that too in a plastic bag instead of the hidesign cloth bag,in description the material is man made leather but the bag was plastic,some plastic cap was delivered instead of bag,a plastic triangle delivered instead of purse"
negative,cm length,24,3,"or cm height in size,length is so sort,measurements and length pls,i need cm length,while length was 37 cm and height is also more"
negative,lock is not provided,30,12,"lock is not opening tried so many times,the lock button is same in both side so i cant lock it properly,from inside lock is loose and lock stucks while opening no comfortable opening of lock,the lock is damaged even both the zip of bags are not there,product has defective design lock given in front is of no use"
positive,keeping it,20,2,"this time i will keep the product,so i have to keep this,so i kept it,so i kept it,so am keeping it"
negative,product has stains,670,213,"seems like the product is used and its has stains on it,it seems to be used product with lots of stain on it,used product received as it has some stains on it,they sent an used product which is full of stains,looks like product is used and has all stain marks"
positive,looks nice,6968,1539,"i like it and its good looking for me thanks,it was nice and was same as shown in the pic,i thought these looked very nice in the images displayed,it gives you a really nice look,its so nice and beautiful handy exactly same as described in the picture"
positive,looks new,52,19,"looks as good as new till date www interviewcheetahcom,updated she has been using it till date and it is as good as new,still it looks good and new,used it for more than 1 year but still it looks new,it is still like new"
positive,long time,50,16,"hoping this one also lasts a long time,first of all it took a really really long time to arrive,it stayed for a long period of time,i hope it will last for long time,seems a good quality last for long time"
positive,sling bag,216,19,"this is an amazing bag in the sling bag category,feel good when i wearing as a sling bag happy,out of all the three bags i love the sling bag the most,its an amazing sling bag and can fit a lot of stuff,if you are looking for a spacious medium sized travel sling bag definitely go for it"
positive,stylish and comfortable,62,16,"looks chic and elegant yet simple if u want it to be,i thought that the product will be more comfortable and stylish,nice stylish and comfortable good one to buy,such an awesome and simple yet stylish and comfort product it is,stylish and comfortable at the same time"
positive,good durable,851,187,"since the material is very good and it is looking really durable,very good quality and it seems to be durable too,this product look is so nice and it is durable,it is a very good product and looks durable,received it today do looking forward to know how durable it is"
positive,eco friendly bag,19,2,"go for it if you are an eco friendly person,story card to know more about this eco - friendly brand akiiko,good eco friendly bag on this price range,its durable and most importantly eco - friendly,nice design well packing by hbm brand eco friendly packing id card option is best"
negative,delicate material,41,15,"the material is very fragile looking like it can snap at any moment,the quality is very fragile,the material feels very very fragile,very delicate and not satisfied with the quality,the quality is so delicate"
