ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B083Y19MMJ,negative,bad quality,6425,2142,18,"not look good on me and quality is not good,the quality is not satisfied,the quality is not good,the quality is not good and find it not worth money,is not good for quality"
B083Y1F9B2,negative,color design,1103,288,1,color
B083Y1F9B2,positive,value for money,8601,2240,2,"good for this money,it is cost effective"
B09DGP2H52,negative,zip is not working,1927,595,1,zip is not working
B09HSCK9K5,positive,good discount,45,8,1,i bought at discounted price good product
B09PJMM2XM,negative,product doesn't look good,9218,3091,8,"not good,not good,not good,not good,not good"
B0B18FMNG4,negative,zip is broken,898,253,1,zipper is damaged
B07P66YQ3L,negative,already paid,36,5,1,we got message this item already delivered on 13 may 2019
B083XZK6RJ,negative,dirty and old product,334,97,4,"there are marks on the item and it reveal the sent item is either old or used product,product is looking old and dirty,also the large one with teddy is seems to be used as it is little tempered and dirty out side or it may be too old,looking old material used inside bag quality s very poor"
B083Y1392Q,positive,looks nice,6968,1539,3,nice
B083Y19MMJ,negative,received incomplete item,245,117,1,missing and different item received
B08S2TRL5L,positive,looks nice,6968,1539,6,"really nice and good material,very nice,very nice but we expected more there can be,what we see in site was looking nice but in reality quality wise not good at all,nice but size differs from actual image"
B08T7BDMZM,negative,small zip,88,29,1,zip are very short
B09PJMQ24C,negative,faded from many areas,83,32,3,"color different as shown in picture also seem like used product as well as colocr faded,it looks like faded and no proper alinment in stitching,faded color and worst material quality"
B09PJMZ7XF,negative,chain is not working,489,155,1,the chain does not cover the main compartment properly
B09XBFBS2D,negative,waste of money,3228,903,2,"this is totally a waste of money,please use good material and dont make the customers fool to earn money"
B0B7XJHFXJ,negative,size issues,29856,9059,3,"size is too small,size is too small,too small"
B0BTJ2THK3,negative,not as shown in picture,13786,4341,3,"it is not as shown in picture,not like,the color and shine is different of the bag"
B09N3LZYHF,negative,dust on product,192,32,1,the product seem liye used and missing some item not good quality very disappointed with product and too much of dust on material
B07P66YQ3L,negative,color faded,719,222,1,the color of it is also faded
B083XZK6RJ,negative,bag has only one zip,189,73,3,"only one zip for handbag,bag zip only one,only get 3 purses one purse was missing"
B083XZK6RJ,negative,stiches are open,246,91,1,stiches are open da refused for a pickup because label was missing
B08T7BDMZM,positive,leather quality,910,167,1,leather quality is good
B0B7XF38T8,negative,product doesn't look good,9218,3091,1,not good
B0B7XN8MJT,negative,strap is not good,380,102,1,strap not working size is small
B083XZHL6H,negative,zip not fully covered,293,96,1,zip not full cover
B083XZK6RJ,positive,soft material,315,60,2,"loved the gray color product is really pu leather very soft to touch and malleable,very soft and elegant"
B08QL6VK6H,negative,didn't expect this size,526,205,1,the size is smaller than i expected
B09DX9H63B,negative,dull color,1638,414,1,poor quality and the color shown in the image while ordering was bright and the product received is dull and feels quite old
B09N3K2ZCP,negative,doesn't fulfill my requirement,328,110,3,"this does not meet my requirement,does not match description,not what i wanted"
B09PJMZ7XF,negative,no zip,428,151,1,no any zip
B0B18GGWX5,negative,stitching is not proper,2636,1043,5,"poor stitches missing main bag belt,poor stitch quality,the material are used inside the handbag is a poor quality cheap velvet type material and the stitches of the handbag are not proper,poor quality cheap velvet type clothes are used inside the handbag and the stitches are also not proper,poor stitch"
B0B7XN8MJT,negative,stitching is not proper,2636,1043,1,material and stitching quality issue
B083XZHL6H,negative,zip quality,1317,457,1,low quality or zip not good
B08QL6VK6H,negative,bad smell,791,296,3,"it is having very foul smell which is unbearable,e hand bags the quality of bag is too bad and it got tore,poor quality smells bad"
B08T7BDMZM,negative,doesn't look like new,293,82,2,"not looking like new item,bag handle not available"
B08T7BDMZM,positive,nice small bag,149,34,1,small bags are also good
B09BND6XNK,positive,value for money,8601,2240,1,worth for
B0B2K83BT3,negative,narrow product,761,313,1,very small and look local
B0B2K83BT3,positive,good design,651,116,1,the product design is good but quality of it not nice can except good quality at that price
B07CRJJC8M,positive,looks nice,6968,1539,3,"nice one,nice"
B083XZHL6H,negative,zip is not closing,124,42,1,bag zip is not closed the entire bag
B083XZK6RJ,negative,not enough pockets,56,24,1,it has not pockets to keep something very poor quality
B083Y1CZCL,positive,material quality,1919,484,1,material quality is also good
B08NYMRBYY,positive,stylish and comfortable,62,16,1,stylish and cool
B08QL6VK6H,negative,not as shown in picture,13786,4341,16,"not as shown in the photo,not same as pictures at all,product looks different from the picture,it is not as seen in the picture quality is very bad,product not same as in website"
B08S2TRL5L,negative,lock is not working,103,29,1,the handle and the key ring is rusty
B09HSCK9K5,negative,zip quality,1317,457,5,"zip design is not good need bag with full zip closing no separate partitions in bag,zip is not proper from side bag is opened,half zip to largest size bag,product zipper is not good"
B09N3K2ZCP,negative,color is also different from picture,95,32,2,"the color is not the same as shown in the image,color isnt same and i dont like it"
B09N3K2ZCP,negative,dirt marks on product,197,55,6,"dirt is on the product i need exchange,product have dirt all over doesnt seems like new,the product is got dye dirt,it is permanent dirt,wrong color and looks like used with all the dirt"
B09N3K2ZCP,negative,small hole in bag,146,63,9,"there is small hole at base of bag,there is a small hole in the bag,the bag have few small holes and scratches on it,small damages in the small bags,small hole in the object"
B0B7XL9PT3,negative,bag has only one zip,189,73,1,it have only one chain pocket
B0BTJ4C92R,negative,cheap quality leather,279,125,1,bag should have white straps i got the golden straps bag which is not the one i ordered as golden straps look cheap
B083XZK6RJ,negative,no zip,428,151,9,"no pocket and no zip / safety buttons,this bag doesnt have zips i like multiple zip handbag but this doesnt have a single zip inside,it is having only 1 zip and there is no small zip inside it,no zip,no zips"
B083Y1CZCL,negative,dirty product,1108,235,2,"it is dirty,i received a dirty bag and a broken handle"
B0974S6R81,negative,used product,1192,381,2,"all ready used product,i think we received used product color shades and damaged"
B09DGMKBYZ,negative,doesn't up to mark,1526,493,2,"no,quality is poor and not up to the mark and as expected"
B09PJMM2XM,positive,design and material,39,10,1,very beautiful hand bag the quality and material is also good
B0B18FMNG4,negative,not match the style,1073,474,2,"it doesnt look good,does not looking good"
B0B2K4D2PG,negative,material is not good,6393,2458,1,material quality is poor and very small sizes
B0B2K4GHMJ,negative,not as shown in picture,13786,4341,3,"not as displayed image,not as shown,not like"
B0B2K83BT3,negative,product has stains,670,213,1,the product has marks all over the bags and stitches are not adequate
B0B2K83BT3,negative,size mentioned,348,104,1,size or fit
B0BTJ2THK3,negative,bag size is not comfortable,167,42,1,this bag size is not suitable
B07P73CMNF,negative,stitching is coming,353,114,1,the stitching on the side has come off
B083XZK6RJ,negative,no safety,114,38,1,not interested
B08NYPH9FS,negative,not comfortable,1451,603,1,not look good
B08T7BDMZM,negative,used product,1192,381,2,"used product and product not good,chain is broken and item looks like it is used"
B09N3K2ZCP,negative,bag has only one zip,189,73,2,"bag had only one zip,one purse and one nut"
B09N3K2ZCP,negative,not genuine leather,165,50,2,"the leather quality is not as expected,very poor quality product not even genuine leather"
B09N3K2ZCP,positive,soft material,315,60,2,"the bag is classy look wise and has a very good soft fabric,quality soft"
B09PJMM2XM,negative,good as pic,211,87,1,prodect not match as shown as photo
B09PJMZ7XF,negative,no inner lining,398,138,1,no quantity
B0B2K83BT3,negative,doesn't up to mark,1526,493,2,"not up to the mark and its like used item,the product quality is very bad and not up to the mark"
B083Y1ZW69,negative,bad quality,6425,2142,1,quality is not satisfactory
B0974S6R81,negative,not genuine,214,64,1,not ok
B09966LHB7,negative,doesn't up to mark,1526,493,1,no
B09HSCK9K5,negative,material is not good,6393,2458,10,"material is not good,material doesnt good enough,quality of material is not as expected and shown in picture,poor material and quality is bad,i dont like the material"
B09N3LZYHF,negative,no zip,428,151,3,"doesnt have zip for the product,no internal zip available,its small and no zip"
B09PJMZ7XF,negative,bad quality,6425,2142,6,"quality is not good,quality is not good,quality is not good,not a good quality,quality not good"
B0B18GGWX5,negative,not genuine,214,64,2,"not like it,not perfect"
B0B2K83BT3,negative,chain quality,284,95,1,shine of chain metal not good
B07QV1V72M,positive,looks nice,6968,1539,4,"nice one go for it,very nice and quality wise superior at this price range,nice,good looks and need few more zips"
B07RPY7XTW,negative,chain is broken,417,140,1,one chain is broken
B083XZK6RJ,positive,space to carry,34,8,1,their quality is too good many space to carry more items
B09BND6XNK,negative,zip inside the bag,239,113,1,this item so large and no pocket and ziper
B09BND6XNK,negative,zip quality,1317,457,1,zip is not their for that hand bag
B09N3K2ZCP,negative,color not same,903,280,6,"color is not as shown in image,color different and damaged,color not same,color doesnot match,color is not same which i was ordered and product quality is not good"
B09N3K2ZCP,negative,quality is not worth,271,115,13,"not as it aspected quality is not nice,performance and quality is not good,quality is not good enough,quality not up to the mark,quality is not proper"
B09PJMM2XM,negative,size issues,29856,9059,23,"quality issue and size is very small,it is too small for me,product quality is not good and size is too small as showing in pics,the size is too small cant even keep a tab in it,not fitting it is too small"
B0B2K83BT3,negative,not as per description,123,42,1,this is not satisfying my expectations
B0B2K83BT3,negative,not as shown in picture,13786,4341,27,"its entirely different from the picture shown,its not as shown,the material lacks quality and doesnt match with the image shown,product was not same,its not look like"
B07P73CMNF,negative,not as shown in picture,13786,4341,6,"products are different from the photo,picture is different compared to actual product received both the times,item doesnt match website description,its very poor quality material not pu leather and small bag has no lining in side not as described in description and picture,also color on website and actual product is different"
B07P73CMNF,positive,leather quality,910,167,1,only leather bag is of good quality
B07QSR4F85,negative,material is not good,6393,2458,1,inner material is not good
B083XZK6RJ,negative,small zip,88,29,2,"zip lock to small,zipper is so tight and difficult to unzip"
B08NYMRBYY,negative,no match,80,28,1,its not as per choice
B08NYPH9FS,negative,bag is torn,1721,552,1,the product is torn
B08NYPH9FS,negative,doesn't fulfill my requirement,328,110,1,did not match my requirements
B08T7BDMZM,negative,size is not suitable,859,302,3,"not nice size is not fit,size issue not useful,size not comfort"
B09N3K2ZCP,negative,strap size is small,231,104,6,"the size of small bags is too small,not looking good other bags are too small,remaining 4 small bags are too small,size of the bags are too small,the small purses are too small than expected"
B09N3K2ZCP,negative,thin material,211,59,5,"the material used is very thin,material is too thin,material is so thin,stuff is really thin,very thin"
B09PJMQ24C,negative,bag is torn,1721,552,1,product damaged and torn
B09PJMQ24C,negative,not as per description,123,42,1,doesnt meet expectations
B09PJMQ24C,positive,looks nice,6968,1539,2,"it is looking so good,nice"
B0B188SMH3,negative,leather quality,869,295,2,"the leather quality of texture is very poor in compare to prince,the leather got creases because of bad packaging you can see the photo"
B0B2K83BT3,negative,no brand mentioned,142,54,1,not picked up
B0B7XG6JHL,negative,size issues,29856,9059,1,size is too small
B07P73CMNF,negative,looks old,2185,529,2,"item damage and old,product was too old"
B07QV1V72M,positive,material quality,1919,484,2,"material is good,the cloth that they have used inside the bag is also good actually"
B083XZK6RJ,negative,stitching is not proper,2636,1043,23,"the metal looks rusty and stitches not good,sorry not good quality stitching also problem,then stitching of side bag is not proper,the stitching and quality not good,the quality of the material and stitches are very bad"
B083XZK6RJ,negative,zip not fully covered,293,96,5,"the zip is not full,zip is not covered fully,zip wont cover fully,big bag doesnt cover zip fully,but the zip of the large bag is not full"
B083Y19MMJ,negative,cheap quality leather,279,125,1,looks ate cheap
B083Y19MMJ,negative,dull color,1638,414,4,"very small and color was very dull,the color is so dull,color very dull,material looks so ordinary"
B08QL6VK6H,negative,size is not suitable,859,302,1,bag quality is not good and also size is not perfect
B09DGMKBYZ,negative,looks like used,491,138,1,the product have scratches and looks used
B09DGMKBYZ,negative,material is not good,6393,2458,21,"looking not good material is not good,bad item not like material is as of,material quality is not good,inner work is not good,material is not good"
B09G6VB6DP,negative,dirty product,1108,235,2,"item is dirty and damaged please do replace this item,dirty product and no looks as per images showing on amazon"
B0B18FMNG4,negative,color design,1103,288,1,color change
B0B7XFTXNV,negative,material is not good,6393,2458,1,poor quality
B0B7XJHFXJ,negative,not match the style,1073,474,1,does not look good
B0B7XJHFXJ,negative,strap is not good,380,102,1,unable to hook the strap because of it
B0B7XLF2JM,negative,size issues,29856,9059,2,"size is small,need large size"
B07Z2YP39B,negative,short length,551,155,1,to short
B083XZK6RJ,negative,zip is broken,898,253,4,"zip is broken,this product is very poor quality and zip is all broken,zips damaged,zips are faulted and it doesnt look good"
B083Y1392Q,negative,hook is broken,121,43,1,when i receive its hooked was broken and from the side strip its was damaged and torn
B08NYMRBYY,negative,bag has only one zip,189,73,1,only single pocket in each wallet and the chain is not locking the entire spaces and leave space in the largest bag
B08T7BDMZM,negative,upset with this situation,99,39,1,i am very disappointed
B09DGP2H52,negative,not match the style,1073,474,1,does not look good
B09HSCK9K5,negative,color faded,719,222,1,color fade
B09N3K2ZCP,negative,not as per description,123,42,2,"not up to the expectations from the picture seen,doesnt meet expectations"
B09N3LZYHF,positive,good comfortable,573,124,1,its comfortable to use for multiple places
B09PJMQ24C,negative,color not good,3789,1225,5,"color change dose not good,so poor quality and color,quality is very bad color also different,color is not good,im not satisfied for this product quality and color"
B083Y1CZCL,negative,size issues,29856,9059,5,"size is to big,size is too small,size is small,too small,product 1 / 3 bag i mean 1 bag was zip was too small looks bag was open and looks too plain not shine minimum"
B083Y1F9B2,negative,color not same,903,280,1,color doesnt match to photos and its fiber is not good
B09DGMKBYZ,negative,not as shown in picture,13786,4341,21,"not as shown in the picture,not as per photo,items dont match picture,doesnt look good in real,as per shown a picture materiel quality poor and defective pic"
B09N3K2ZCP,negative,short length,551,155,2,"will be short,very short and low quality"
B09N3K2ZCP,positive,good discount,45,8,1,waste of money even if you are getting it for 90 % discount
B09N3LZYHF,negative,one pocket,179,86,3,"only one pocket are there in all bags in small back and even in big bag,i need single piece with some pockets,one pouch is detective and one is missing there are only 4 but in image there are 5"
B09PJMM2XM,positive,good condition,191,61,2,"this is good but not perfect,very good but size small"
B09PJMQ24C,negative,looks like used,491,138,1,small purse button is damage and it its seems used
B09PJMZ7XF,negative,color not good,3789,1225,6,"color and quality is not at all good,wrong color send and bad services,color is not same poor quality,color is not good,doesnt like color"
B09PJMZ7XF,negative,damaged or torn,125,60,1,it is torn
B09PJMZ7XF,negative,not comfortable,1451,603,11,"not at all satisfactory,does not look good,does not look good,does not look good,does not look good"
B0B188SMH3,negative,not comfortable,1451,603,1,does not look good
B0B188SMH3,negative,size is not suitable,859,302,1,material not good not comfortable with size
B0B18CN68L,negative,not as shown in picture,13786,4341,3,"not as shown in picture,not as shown,product looks different from website"
B0B7XL9PT3,negative,no match,80,28,1,not accepted
B083XZK6RJ,negative,need another color,140,51,2,"need another color,i want other colors"
B083Y1392Q,negative,zip is not closing,124,42,2,"the bag zip is not closed fully,zip is not closing the bag properly"
B09N3LZYHF,negative,handle screw,33,17,1,does not have handle screw
B09PJMQ24C,negative,stitching is not proper,2636,1043,6,"quality is not good and stitching is not as good,it looks like faded and no proper alinment in stitching,poor quality material stitch finishing is bad,stitching is not proper,material quality zip stitchting everything is not good"
B0B18GGWX5,negative,short length,551,155,1,too short
B0B2K83BT3,negative,strap is coming off,60,28,1,strap
B07QW3348P,negative,product doesn't look good,9218,3091,1,the style was not good
B083XZLNYK,negative,old bag,695,185,1,some other old purse
B083Y19MMJ,negative,zip is broken,898,253,1,zip damaged
B08NYMRBYY,negative,chain is not working,489,155,1,looks like cheap product chains are not proper
B08QL6VK6H,negative,order not complete,40,13,1,not as per order
B09DGP2H52,negative,black stains on bag,551,188,2,"the bag is not seems new and also there are black color marks on the bag,the product is damaged and the color is different from the given picture and also theres black marks on the purse"
B09DX9H63B,negative,looks old,2185,529,1,poor quality and the color shown in the image while ordering was bright and the product received is dull and feels quite old
B09G6VB6DP,negative,stitching is not proper,2636,1043,1,poor stitching quality
B09N3LZYHF,negative,dirty and old product,334,97,5,"it looks old and it is not of a good quality,damaged product old and used one,the quality of the product is extremely poor and it seems that it is very old or used,what i expect its not like that material is looks old damage and color is faded,very old material"
B09PJMQ24C,negative,narrow product,761,313,8,"poor quality and small size,very small,very small,size small,small size"
B083XZLS6D,negative,less space,226,82,1,not enough space and pockets in the large bag
B08T7BDMZM,negative,deserve a star,21,6,1,inner a star not available or provide
B09DGMKBYZ,negative,product doesn't look good,9218,3091,16,"looks different and not good,not in good condition,qualtiy was not good,dose not good,not good"
B09N3LZYHF,negative,finishing is not good,872,317,9,"finishing is not good,poor finishing and inner liner was very poor,the quality is worst,poor finish,very bad service"
B09PJMZ7XF,negative,product doesn't look good,9218,3091,22,"dose not look good,look is not good,its not good,its not good,not looking good"
B0B18GGWX5,negative,bag is torn,1721,552,1,item is damaged and it was tornpl check product
B0B7XF38T8,negative,dirty product,1108,235,1,the bag was dirty
B07P73CMNF,negative,material is not good,6393,2458,3,"outer and inner material quality is poor,material is not good as it was seen on display in phone,poor product quality loose material"
B09N3K2ZCP,negative,zip not available,320,90,2,"zip not close one time open then they are not close,it does not consist more zips"
B09N3LZYHF,negative,bag is torn,1721,552,7,"the bag is torn in two places so i am returning this,the handle of the bag is torn,bag is torn and damaged kindly return this,big bag flip is found torn,that bag is torn and is in very bad condition"
B0B188SMH3,negative,belt is short,58,15,1,even the size of the bag is small the sling is short
B0B7XK74LM,negative,product doesn't look good,9218,3091,1,not good
B0B7XK74LM,negative,received incomplete item,245,117,2,"partial item missing,missing item"
B0B7XK74LM,negative,stitching is open,158,53,1,stitches is open and torn at one side
B082F4P1NK,negative,waste of money,3228,903,2,"quality is very poor considering price range,waste of money product"
B083XZK6RJ,negative,bag is torn,1721,552,12,"the strips of bag is torn,the fabric of this purse is torn,one of the purse hook hole is torn,the bag is torn near zipper,bag is torn from inside"
B083XZK6RJ,positive,build quality,128,36,1,build quality is very good of the product
B083Y1392Q,negative,short length,551,155,2,"short length,its to short and handle buckle and belt zip leather quality color also different"
B08T7BDMZM,negative,compartments inside the bag,681,242,5,"theres no multiple pockets inside this bag,no pockets inside the bags and no cloth also inside,but no pocket inside in any purse,no compartments provided in any of the bags,no inner lining in main bag"
B09N3LZYHF,negative,bag has only one zip,189,73,2,"only one pocket inside the wallet,cut and single purse"
B09PJMQ24C,negative,dirty product,1108,235,2,"product is used and dirty,item is dirty"
B083XZHL6H,negative,one zip,268,126,1,color was so light and it had only one zip
B083Y1CZCL,negative,loose material,63,16,1,very loose material not stiff and not satisfied with the product
B08QL6VK6H,negative,stitching is not proper,2636,1043,1,side bags was stitching quality very worst
B09DGP2H52,positive,good color,1950,422,2,"sometimes even i carry it to my college and my friends love this specially its color,it is not as per my assumption quality and color is very good but not liked it because they dont have any chains"
B09DGP2H52,positive,stylish bag,578,113,2,the color and texture of the bag makes it look classy and elegant
B09HSCK9K5,negative,not as shown in picture,13786,4341,10,"its not as excepted from the pic,quality not as shown in image,didnt looked like size in picture,not like this,different from item ordered"
B09PJMM2XM,negative,leather is torn,452,114,1,the leather is cracking
B09PJMQ24C,negative,one compartment,229,92,1,hand bag size issue that bag only one pocket also
B07YDCWLWF,negative,bad quality,6425,2142,3,"not good quality,but its not so good quality at all"
B08S2TRL5L,positive,product description,102,26,1,this is inexcusable these guys gives products which are in the showcase
B09N3K2ZCP,negative,please dont purchase this bag,30,5,1,i will not recommend anyone to buy this bags
B09N3K2ZCP,negative,zip quality,1317,457,23,"zip are damage worst quality making fool,material quality poor also zip and stitches poor,poor ziper quality,product quality also worst no inner zip available,zip is damaged"
B09N3LZYHF,negative,one compartment,229,92,1,only has one pocket in every purse
B09PJMQ24C,negative,doesn't suit me,1911,576,2,"not good,not good"
B083XZK6RJ,negative,not genuine,214,64,3,"does not look authentic,not ok,not nice"
B08T7BDMZM,negative,zips are less,68,31,1,its very small and no extra zips
B09DX9H63B,negative,size issues,29856,9059,3,"it is very small in size,size is to short,size is small"
B09W2JT6NW,negative,lock is not working,103,29,1,the lock pin is not correct it is not fitting into it
B09XBDVYC3,negative,not as shown in picture,13786,4341,2,"not as shown in picture,no"
B0B188SMH3,negative,cheap quality leather,279,125,1,size is small and product quality is very cheap
B0B18FMNG4,negative,zip quality,1317,457,1,zip is not good
B0B18GGWX5,negative,looks old,2185,529,1,it looks old
B07P66YQ3L,negative,local product,158,35,1,product is more of a local item
B08S2TRL5L,negative,not what i am looking for,65,21,1,bought by mistake i really not like this product it all about my mistake so thats why im returning this this is not looking nice
B08S2TRL5L,positive,liked alot,72,26,1,i like but not a good quality
B09DX9H63B,negative,material is not good,6393,2458,1,poor material quality and there is color mark on back of one item
B09N3K2ZCP,negative,bag handle not attached,81,26,2,"a handle bolt is missing due toh which the bag can not be used properly,not sufficient slots in bag"
B09N3K2ZCP,negative,close the bag,31,5,1,the purse cant close completely
B09VZ8GP4V,negative,size is not suitable,859,302,2,"the size is not which i want so will be useless for me,it was not big enough for me"
B0B2K83BT3,negative,worn out stitching,33,12,1,the stitch near bag is slightly worn out
B07BH3R4MM,negative,product doesn't look good,9218,3091,1,not perfect
B07P66YQ3L,negative,not comfortable,1451,603,1,not suitable even for casual use
B083XZK6RJ,negative,bed quality,185,63,1,quality is bed
B0974S6R81,negative,zip quality,1317,457,1,zip format not good as expected
B09N3LZYHF,negative,bed quality,185,63,4,"very bed quality,very bed quality,bed chip quality,very very bed"
B09PJMZ7XF,negative,not as shown in picture,13786,4341,22,"not as shown in image quality as well isnt up to mark,different from picture,not as described,actual pic is not same as delivered product,quality is not up to that mark"
B09PJMZ7XF,negative,old bag,695,185,1,purana product de diya hai
B0B188SMH3,negative,faded from many areas,83,32,1,the color is quite fade in compare to display image
B0B2K4GHMJ,negative,old bag,695,185,1,bags looks so old and looks like used one and i have received only 2 bags
B0B2K83BT3,negative,material is not good,6393,2458,14,"the material lacks quality and doesnt match with the image shown,material is not of good quality,quality is not good poor material,quality of inside material is not good,material was not good"
B07QW3348P,negative,doesn't up to mark,1526,493,1,not up to the mark
B083Y1392Q,negative,leather quality,869,295,1,not satisfied about the leather
B08T7BDMZM,negative,one pocket,179,86,3,"also main purse have only one pocket and its not enough for carrying different items,only one pocket is available in this product,i need many pocket but in this bag only one pocket so am return this bag"
B09N3K2ZCP,negative,finishing is not good,872,317,29,"the product material and finishing is not good,poor quality material and extremely bad finishing,finishing does not seem as in the image,product finishing is not good and not satisfied with the product,product finishing is not good"
B09N3LZYHF,negative,not as shown in picture,13786,4341,104,"it doesnt even look like like how its shown in the image,it is not as shown in the photo,is not as good as it looked in photos,doesnt look anything like in pictures,not as per description or image"
B0B2K83BT3,negative,not sturdy,481,148,1,not seems good
B07YDCWLWF,negative,material is not good,6393,2458,3,"material was not good its also not a fresh piece which delivered to me,poor quality material shredding from inside does not match the pic shown,very poor inside cloth"
B083XZK6RJ,negative,color not same,903,280,3,"color is not same as shown in picture,color doesnt match also,material quality is too low not worth 500 and size is too small and color is so different than shown in picture"
B083XZK6RJ,negative,normal size,30,9,1,normal size
B083XZK6RJ,negative,product has stains,670,213,1,the bags have stains on them
B083XZPQSP,positive,value for money,8601,2240,1,value for money
B083Y1F9B2,negative,bad quality,6425,2142,3,"quality is not good,quality not good,quality not ok"
B08NYMRBYY,negative,belt is damaged,97,37,1,belt damaged
B0B188SMH3,negative,product doesn't look good,9218,3091,1,not good
B0B7XLF2JM,negative,product doesn't look good,9218,3091,1,not good
B07BJK2LVB,negative,product doesn't look good,9218,3091,1,not proper
B07P66YQ3L,negative,hard material,523,177,2,"its too hard material,the material is hard"
B07P66YQ3L,negative,product doesn't look good,9218,3091,12,"does not look good on me,does not look good,it doesnt look good,not good looking,not good"
B07QSR4F85,negative,stitching is damaged,260,85,1,stitching damage
B0824QC1H4,negative,not as shown in picture,13786,4341,2,item doesnt match website description
B083XZS9RY,negative,not as shown in picture,13786,4341,1,not up to the mark and different as shown in picture
