ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B07MY4VS9V,negative,bag is torn,1189,285,2,"bag is torn at the bottom,bag was torn at the bottom"
B07PNJXQ4J,negative,bad smell,664,152,1,has a pungent smell
B083XZYY9H,negative,chain is not working,645,116,4,"so chain piece wont fix there,no any pocket chain is not good,bag chain cover is not properly,chain is not fully covered"
B083XZYY9H,negative,color faded,811,167,3,"color is faded when compared to product shown,color faded at many places,faded item"
B083XZYY9H,negative,not comfortable,621,160,2,"it is very bad to handle and it is not comfortable for me,its not best"
B083Y1XPMM,negative,not as shown in picture,10280,1970,26,"its not as per picture shown,fully different from as seen in the pictures,not good looking like in a image,not worth that much look like image,second item is different from image"
B09Q1F3WWH,positive,buy without second thought,202,44,1,good you can buy it without hesitation
B09Q1FYRHD,negative,not a genuine product,312,92,1,product does not look good
B09Q1GYYVY,positive,picture looks good,411,93,3,"exactly the same one as display picture,beautiful just as pics,lovely"
B0B464X5MJ,negative,bag is torn,1189,285,13,"the purse is torn and and the layer of the purse is torn,cover of the bag is ripped,the bag item is torn,the bag is torned,bag cloth is torn"
B07BVB69N1,negative,doesn't fit properly,1545,527,1,it is not properly put
B07DSY697V,positive,shown in picture,2895,503,1,the product ws same as shown
B07NS3BHJ3,negative,size issues,21476,3691,1,this product is so costly and the size of bag is very small and i received the bag in very bad condition the bag was very dirty
B083XZYY9H,negative,bag handle,255,44,4,"handle of the big bag is received broken,bag handle is damaged and tags missing,also the handle seemed so different from the design,handle is not nice"
B083XZYY9H,negative,chain is broken,511,70,2,"the chain or sling is broken,the product looked as if been used the chain was broken and was inside the bag"
B09HTYRYLX,negative,white color bag,302,52,1,purse had some white spots and stitching loose at places
B0BGFR5F3M,negative,strap is too small,205,69,1,hanging belt is too small
B07R6HNDV4,positive,color as shown,293,59,1,good product and same color as shown in the picture
B083Y1XPMM,negative,doesn't meet requirements,311,78,2,"does not fit in expectations,not fitting my requirement"
B083Y1XPMM,negative,stitching is not proper,2146,553,7,"the stitching quality is not good,stitching is not to the mark,the sling bag was not stitched properly,not stitched properly,poor quality n stitching"
B09Q1DBMM6,negative,stitching is loose,56,15,1,stitch is coming out from one side
B09Q1FYRHD,negative,waste of money,3189,599,1,there is no price tag no brand tag
B07BVB69N1,positive,looks stylish,1933,330,1,stylish enough spacious and classy look
B07KSGPXGB,negative,looks old,3077,592,1,it looks like very old used material
B0BGFR849K,negative,long belt,70,17,1,i assumed too long sling for handle but its kinda a little short
B07RWQJ3ZT,negative,bad quality,4794,893,1,quality is not good
B08NYPH9FS,negative,design is not good,419,126,1,didnt like the product
B09M9YL9WG,positive,looks nice,7013,969,2,"its worth it,nice"
B09Q1FX34C,negative,cut mark,178,48,1,a cut mark is visible
B07CYXCK13,positive,looks nice,7013,969,1,very nice
B07DT1ZGQ7,negative,fake product,1547,387,8,"fake product not worth the price,it looks fake and a low quality product,bakwas looking fake dont buy,duplicate product not as expected,totally fake"
B07J2NZKL3,negative,not sturdy,482,105,1,not sufficient to keep my items
B07KS5YC8P,negative,size issues,21476,3691,1,the stars on the bag is damaged and inside pocket is too small
B07LDS28Y4,negative,stitching is not proper,2146,553,3,"the stitches are not intact and there are wide open,stitching was not good and damaged,not stitched properly gaps are there"
B07Q7NQVDJ,negative,bag is torn,1189,285,1,bag is torn already
B07RKHYVMC,positive,color as shown,293,59,1,same color as show in picture
B07RLRKGG3,negative,waste of money,3189,599,1,one zip is missing waste of money
B07RZ8KZS9,positive,good finish,387,67,1,the finish is good and it looks stylish
B09Q1DBMM6,positive,looks nice,7013,969,1,nice
B0BN6DD5Z6,negative,looks weird,61,11,1,looking odd
B07BVKZXCV,negative,leather is coming off,190,49,1,the leather comes off with a slight touch with any sharp object
B07DBBTW4F,negative,chain quality,276,50,1,again chain is received damaged inside the purse
B07DT1ZGQ7,negative,amazon cheating s,77,11,1,amazon doing fraud in prepaid orders so dont order prepaid other wise you will be victim like me
B07KSH25Q4,positive,value for money,7369,1266,1,value for money
B07MY2FGH2,negative,only pocket is there,119,19,1,only single pocket is there
B07R6HNVPN,positive,material quality,1741,257,1,good material
B083Y1XPMM,negative,leather is coming off,190,49,1,it is told leather item but its not leather at all
B09HKG54KC,negative,belt is not good,291,72,1,the belt of the product is pathetic
B09Q1DBMM6,positive,excited to receive this product,405,104,1,oh god
B09Q1FX34C,positive,looks nice,7013,969,2,"quality is nice,good"
B07DT1ZGQ7,negative,zip quality,1076,247,15,"very very poor quality with damaged zip,the quality of the zip is too bad,the problem is connected rings and zips are very weak,zip quality is worst but in the description they mentioned as best,inner zip quality is very low"
B07MY5SBVT,negative,bad quality,4794,893,2,"not as expected poor quality,quality is not good"
B07R6HNVPN,negative,torn from inside,155,37,1,small wallet is defective torn from inside and also cloth has been torned
B09M9ZGYBF,negative,tag not available,80,21,1,received without tag
B09Q1DT2RW,positive,shown in picture,2895,503,1,it looks very stylish and eye catching
B09Q1F3WWH,negative,useless for purpose,1464,283,1,not worth
B09Q1GYYVY,negative,lock is not working,371,115,2,"the lock is not in a good condition,the bag lock is rusted"
B09Q1GYYVY,negative,stitching is coming,423,109,1,the hanging chain has a knot and side stitches are opening
B07DBBTW4F,negative,size issues,21476,3691,1,big one is so beautiful but small one is not ok
B07MY5VPCV,negative,material is not good,4433,960,1,the item is not up to the standard quality as ive expected
B07R6HNVPN,negative,bag is torn,1189,285,3,"the bag is having internal cloth is torn,the main big bag inside clothing is torn from its stitching point,purse lining is torn from inside"
B0824QS5D8,negative,stitching is not proper,2146,553,2,stitch quality not good
B09Q1DT2RW,negative,handle is broken,481,111,1,the handle is breaked
B09Q1FKY8C,negative,torn at corners,156,54,1,its torn on the side
B09Q1JMT13,positive,beautiful piece,112,29,1,its really looks so pretty
B09Q1JVKQW,negative,small belt,937,252,4,"its a little wide or like big for my short height and small frame,small"
B0BGFR5F3M,negative,shape is not good,362,120,1,not looking good
B07BVKZXCV,negative,material is not good,4433,960,3,"not good by looks and material,material is not good,material is not good as expected"
B07BVKZXCV,negative,zip is broken,938,167,1,zip broken
B07CYZC1YQ,negative,belt is broken,405,103,1,the belt is broken
B07RZ8KZS9,negative,doesn't fit properly,1545,527,1,zip isnt of good quality and even not working properly
B083Y1XPMM,negative,zip quality,1076,247,8,"there is only one zip in purse,zip is very open,short zip on bag,the big bag have only one zip that also short we expect atleast 2 or 3 zips,zip file"
B09HTYRYLX,negative,looks old,3077,592,2,"the product looks old and not good,it look like an old bag im very disappointed"
B09Q1DT2RW,positive,value for money,7369,1266,1,value for money
B09Q1F3WWH,negative,not comfortable,621,160,1,not comfortable
B0B464X5MJ,negative,chain quality,276,50,2,"chain was not received the purse,but chain is very low quality"
B0B464X5MJ,negative,sticky product,75,26,1,lock area looks old and with stains
B0BGFR4NPZ,negative,zip is broken,938,167,1,zipper is torn
B07DBCNZFB,negative,zip is not working,1508,318,1,its zip isnt working
B07DT1ZGQ7,negative,deserve even one star,18,2,1,not worth giving a single star even
B07M7WJQRF,negative,size issues,21476,3691,1,size is too small
B07MFZ34NK,positive,best in class,139,19,1,best
B07MY379DC,negative,stitching is not proper,2146,553,1,its completely deformed stitching is not proper and completely different from the picture
B07RZ8KZS9,negative,stitching is not proper,2146,553,1,stitches on strip are very poor even not uniformly done
B081L68ST3,negative,size is not fit,3432,821,1,there is size issue its little shall in size so want to return
B083XZYY9H,negative,belt is broken,405,103,2,"damage in belt,the belts tore apart zippers failed to work and the outer coverings started falling apart"
B083XZYY9H,positive,looks better than picture,91,18,1,materials looks cheaper than described
B09Q1F3WWH,negative,color not good,3861,866,1,i didnt like the color
B0BGFR5F3M,negative,bad quality,4794,893,1,not good quality
B0C3RD6F92,negative,quality not worth,464,137,1,quality not good
B07BVKZXCV,negative,amazon cheating s,77,11,1,hi i think the amazon company has cheater dealers with they are doing business
B07BVNMPK9,positive,shown in picture,2895,503,1,spacious good zips exactly as advertised
B07DBBTW4F,negative,want refund,155,30,1,different color from what was ordered traveling out of town need refund
B07DT1ZGQ7,negative,leather is torn,420,69,1,the leather is torn and no finish at all
B07DT1ZGQ7,negative,no zip,387,96,2,"theres no zip and it doesnt meet the description on the website,there is no zip"
B07RFSKNLC,negative,bad quality,4794,893,1,not good quality
B083XZYY9H,negative,thin material,265,54,1,also the inner material is visible which looks bad and the material is too thin
B08B5CP6FK,negative,material is not good,4433,960,1,material poor quality and stitching very coarse
B0999J95YQ,negative,rust on the metal,51,9,1,there is a rust mark inside
B09Q1FX34C,negative,adjustable strap,329,77,1,the metal items strap studs and clasp are rusted and the bag itself is discolored in a number of places
B0B464X5MJ,positive,looks good from outside,152,54,1,good
B0BGFR4NPZ,negative,stitching is not proper,2146,553,1,stitching is not good
B0C3RD6F92,negative,doesn't look like this,703,194,1,one of the 3bags - grey color is not fargo brand but some fashion brand is mentioned
B07DT1ZGQ7,negative,material not up to mark,227,74,1,not up to mark
B07DT1ZGQ7,negative,no pockets inside the bag,563,130,1,no brand name in the bag and completely too small
B07MY4VS9V,negative,zip is not working,1508,318,2,"inner compartment is made of paper and the zipper is of no quality also it was damaged,the zipper is of no quality also it was damaged"
B07RVD3NTZ,negative,size issues,21476,3691,1,bag is too small
B083XZYY9H,negative,leather is coming off,190,49,1,impression from the image was that is is made out of leather
B083Y1XPMM,negative,product not matching,252,64,1,not good no internal partitions provided not as mentioned in product descriptions
B083Y1XPMM,positive,loved the style,219,57,1,its value is less style is good quality is awesome and i like its color thank you amazon for giving me
B08NYPH9FS,negative,product doesn't look good,8306,1788,1,not good
B09Q1DT2RW,negative,bad quality,4794,893,1,doesnt looks like a good piece
B09Q1GYYVY,negative,bad smell,664,152,1,its seriously disgusting
B0B464X5MJ,negative,heavy weight product,574,147,2,"too big and bad quality,too large"
B0BGFR4NPZ,negative,quality not worth,464,137,1,quality not good
B081L5TJLQ,negative,useless for purpose,1464,283,1,not worth it
B0824QS5D8,negative,size is not fit,3432,821,2,"product quality and size do not match,size issue"
B09HTYRYLX,negative,button is broken,91,15,3,"the button is broken,the closure button is broken,button is already damaged"
B09M9ZGYBF,negative,chain is not working,645,116,2,chain is also not proper
B09MB1ZFFN,negative,used product,992,242,1,used product
B09Q1DT2RW,negative,design is not good,419,126,1,not satisfied with product
B09Q1GYYVY,negative,space is narrow,429,95,1,looks very small
B0B464X5MJ,negative,doesn't suit,582,161,2,"not good at all,doesnt t suit me the bag is too big"
B07CG1WCLM,negative,size issues,21476,3691,1,size is very small than shown in image
B07DT1ZGQ7,positive,good zip,358,58,1,material and zip is good
B07KSH25Q4,negative,broken item,238,58,1,the starts are already broken and the clip inside is so sharp that if any material is placed it gets torn
B07KSJ1TW5,negative,stitching is not proper,2146,553,2,"finishing and stitches not perfect,all stitches are open and inside leather and cloth joint open"
B07MJC7FFH,negative,doesn't fit properly,1545,527,1,not properly made
B09M9ZGYBF,negative,doesn't look like this,703,194,2,"did not like it,did not like"
B09Q1GYYVY,negative,tag not available,80,21,1,mrp tag not there
B0B464X5MJ,negative,bag is too short,104,28,3,"bag chain is too short can not comfortable to handle,belt chain is is too short,hanging chain was too short"
B0BN6DD5Z6,negative,space is narrow,429,95,1,very small and quality is bad
B07RZ8KZS9,positive,looks stylish,1933,330,1,the finish is good and it looks stylish
B081L68ST3,positive,looks nice,7013,969,1,nice
B09HTYRYLX,negative,torn at corners,156,54,1,its torn on edges
B09M9ZGYBF,negative,bag is too short,104,28,3,"size is small and the string is too short for a sling bag,handle is too short,the sling length is too small and the quality is very poor"
B07DBBTW4F,negative,material is not good,4433,960,2,"material quality is very poor,quality is ok but not great outside material is good but the inner lining cloth is of very bad quality"
B09G6XVLFL,negative,dirty product,1599,268,1,this item is stained and dirty
B09G6XVLFL,negative,no tag,247,53,1,stain is there no brand tag on it
B09HTYRYLX,negative,bag is totally damaged,59,10,1,the item is damaged completely and the threads are out and the glue is clearly seen
B09HTYRYLX,negative,product doesn't look good,8306,1788,12,"does not look good,its not looking good and it was damaged,not good,not good,not recommended"
B09Q1GKXDJ,negative,can't be used,167,43,1,it does not close
B0BTHXJ8LQ,negative,hard material,319,89,1,too hard
B07BVB69N1,positive,nice and spacious,1492,229,2,"stylish enough spacious and classy look,its spacious and i like it but the only thing that is not good is that the button it closes to it"
B07BVNMPK9,negative,bad smell,664,152,1,smells badly of kerosene
B083Y1XPMM,negative,zip is not working,1508,318,4,"zip does not bind well and size issue,very poor zip is not compost able waste bag,product received is small and not fully secured with zip,zipper is not safe"
B09MB1ZFFN,negative,leather quality,632,140,1,leather is not good
B09Q1FX34C,negative,product has stains,850,197,2,"its a white color purse and it has stains on it,item stained"
B09Q1GYYVY,negative,picture is misleading,30,2,1,misleading pics
B0BGFR849K,positive,mobile and money,443,152,1,value for money love it superb
B07CG1YVH4,negative,material is not good,4433,960,1,very low quality material
B07DSY697V,negative,bad quality,4794,893,2,quality is not good
B07MY663PD,negative,bad quality,4794,893,2,"not as expected poor quality,quality is not good"
B07NVLG78V,negative,size issues,21476,3691,1,very bad and too small
B083XZYY9H,negative,doesn't fit properly,1545,527,1,the screw is not in place and is not fitting properly
B0999J95YQ,negative,scratches on product,795,223,1,some scratches
B09M9ZGYBF,negative,waste of money,3189,599,2,"such a bad bag totally waste of precious money,its not worth the money"
B09Q1FX34C,positive,small sling bag,305,54,1,a very stylish sling bag
B0B464X5MJ,negative,looks so simple,234,68,3,"the material is very cheap,looked cheap,looks cheap"
B07DT1ZGQ7,negative,thin material,265,54,5,"in pic look fluffy but in real so thin,it is thin and too flimsy,material is thin,the strap is thin but seems durable,the bag is nice plus its very soft but the only thing i dont like about is the zipper it looks so cheap and very thin"
B07DT1ZGQ7,positive,no damages,35,5,1,still using no complaints no damages thanks
B07P41S5PV,negative,dull color,1714,352,1,color is dull
B0824QS5D8,negative,design is not good,419,126,3,"design not good,dont like this product,dont like the product"
B0999FLP38,negative,bad quality,4794,893,1,quality is not good
B09M9ZPL7D,positive,looks stylish,1933,330,1,provide classy look everything is good in this bag
B09Q1G7BT2,positive,color matches,68,18,1,i liked the color same as shown
B09Q1GYYVY,positive,looks stylish,1933,330,3,"so beautiful and elegant,this is such a cute bag and stylish as well,it is a small compact sling bag which has a classy look"
B0C3RD6F92,negative,material is not good,4433,960,2,"material quality is very poor,poor material"
B07MY4VS9V,negative,bad finishing,1129,297,2,"poor quality and finish,finishing not good"
B083Y1XPMM,negative,leather is torn,420,69,3,"the leather is tearing off,lower part leather is damaged,leather is damaged"
B09Q1GCCGZ,negative,not as shown in picture,10280,1970,1,buckle is broken and bag is distorted
B09Q1GYYVY,negative,can't be used,167,43,1,not look on me
B09Q1GYYVY,negative,looks so simple,234,68,1,it looks so cheap
B0BN6DD5Z6,negative,product has stains,850,197,1,the bag looks like an old and used product with dust and marks on the bag
B0BN6DD5Z6,negative,useless for purpose,1464,283,1,not appropriate
B07BVB69N1,negative,belt is not good,291,72,1,that too without belt
B07BVKZXCV,negative,waste of money,3189,599,6,"just a pure waste of money,poor totally waste of money,totally not worth the price paid for it online,pls dont buy this one because its not worth for the money,price defrent"
B07K5VMPJG,negative,not as shown in picture,10280,1970,1,style different
B07MY2FGH2,positive,stylish bag,988,256,1,stylish and awesome this product quality is awesome im totally impress this product
B07P5LRL5W,negative,looks old,3077,592,1,large bag looks old
B07RPZB7MY,negative,not leather,624,116,1,not go leather
B07RPZB7MY,negative,useless for purpose,1464,283,1,no good
B081L68ST3,negative,bad quality,4794,893,2,"style and quality not good,quality not impressive at all"
B081L68ST3,negative,material is not good,4433,960,1,color deferent material not good no gift packing no latter for gift massage and bill not received
B0824QS5D8,negative,used product,992,242,2,"used product,product looks used and poor quality"
B083XZYY9H,negative,zip is not complete,95,26,1,zip is not complete from end to end
B0B464X5MJ,negative,bag handle,255,44,1,the leather is torn and handle is not in good shape
B0BGFR5F3M,negative,quality not worth,464,137,1,quality not good
B07DT1ZGQ7,positive,strong smell,19,1,1,it has strong odour and its so low quality material
B07NVLP45J,negative,bad quality,4794,893,1,quality is not good
B07SWVK36G,negative,size issues,21476,3691,1,size small
B07X9D9M6W,positive,value for money,7369,1266,1,the product quality is good in this price range
B081L5TJLQ,negative,one zip,121,18,1,only one zip is there and inside pockets
B09HTYRYLX,positive,shown in picture,2895,503,1,the color and design is also very pretty and exactly same as shown in the picture
B09Q1DBMM6,negative,heavy weight product,574,147,1,too bulky
B0B464X5MJ,positive,mobile and money,443,152,3,"looking at the price its a great deal,value for money and style,quality is good for the price"
B07DFMXSMZ,positive,sling bag for girls,69,13,1,i liked both the sling bag and handbag
B07DT1ZGQ7,negative,no brand logo,453,101,2,"its not sling,poor quality and no looks"
B07R6HNVPN,positive,shown in picture,2895,503,1,as seen in the image
B083Y1XPMM,positive,shown in picture,2895,503,5,"it was as i saw in the picture,looked same as shown in the pic,its too good same as shown in image,same as pic,thx amazon"
B0999FLP38,negative,looks old,3077,592,1,handbag has shown sign of scratch on surface and looks old
B09M9ZPL7D,negative,zip is not working,1508,318,1,zip not good
B07MY379DC,negative,size issues,21476,3691,1,too small but awesome
B07R6HNVPN,negative,zip is broken,938,167,2,"zip runner area damage,items zip is damaged"
B07RZ8KZS9,negative,waste of money,3189,599,2,"this is total waste of money,no price tag attached"
B081L5TJLQ,negative,black stains on bag,313,74,1,moreover black stains are there in bags side
B083XZYY9H,negative,zip is broken,938,167,4,"it was torn the zip part,there is a damage in the zip,instead of the middle purse received a wallet card holder which was damaged an broken,zip of the bag is damaged"
B09G6XVLFL,negative,doesn't look authentic,226,68,1,not good
B09M9ZGYBF,negative,broken item,238,58,2,very bad damaged and broken parts
B09Q1FX34C,negative,defective color,100,18,1,wrong colors received
B0BGFR849K,negative,product not as displayed,120,30,1,product doesnt match with the website article
B07DT1ZGQ7,negative,design is not good,419,126,1,dont like the product
B07RKHYVMC,negative,useless for purpose,1464,283,2,"not worth it,not worth even 150"
B083XZYY9H,negative,scratch marks,178,62,1,bad quality product with dull color scratch marks on some places
B09MB2NP9R,negative,size issues,21476,3691,1,bag handle is too small for using as sling bag
B09Q1GYYVY,negative,design is not good,419,126,1,dont like the product
B0BGFR849K,positive,value for money,7369,1266,1,very very good value for money
B0C3RD6F92,negative,leather looks cheap,281,75,1,very cheap stitches material
B07MY2FGH2,negative,torn from inside,155,37,1,the quality of bag is extremely poor and it is torn from inside
B07RZ8KZS9,negative,bad smell,664,152,1,stinking smell
B09G6XVLFL,negative,cut mark,178,48,1,other colors stain on product and some cut their
B09Q1FYRHD,negative,size issues,21476,3691,4,"size is too small,too small,on the image it looks bigger in size but it is not it is very small so i didnt like it"
B0BGFR4NPZ,negative,bad quality,4794,893,4,"quality is not good,quality is not good,quality was not good,color is a bit darker pink but quality is not good"
B0C3RD6F92,negative,shape is not good,362,120,1,doesnt look good
B07CYZ8HF3,positive,nice and spacious,1492,229,1,nyc design spacious
B07RWQJ3ZT,negative,zip is not working,1508,318,1,zips is not working
B082RDZZJ1,negative,heavy weight product,574,147,1,wrong color too large and unwieldy and shapeless
B0BGFR5F3M,negative,not as shown in picture,10280,1970,8,"doesnt look like the pics,not as per description,that is totally different,looking different from website view,too big and looks different from the image"
B07BVB69N1,positive,looks nice,7013,969,2,nice
B07DT1ZGQ7,negative,product doesn't look good,8306,1788,42,"does not look good for me,it does not look good on me,dose not look good on me,does not look good on me,it not good at all"
B07DT1ZGQ7,positive,favourite one,30,5,1,it has become my favourite
B07K5VMPJG,negative,chain is broken,511,70,1,the chain was broken
B07MY5VPCV,negative,size issues,21476,3691,3,"very small,everything is perfect except that the size is smaller than expected from its description,its more bigger than appearing here and also not satisfied by quality"
B07P5LRL5W,negative,not as shown in picture,10280,1970,1,item doesnt match website description
B07RPZB7MY,positive,looks nice,7013,969,1,looks good but zip is defective
B083XZYY9H,positive,rest all good,44,8,1,rest all is good
B083Y1XPMM,negative,leather quality,632,140,6,"leather and material is not good quality,leather is not of adequate quality,leather quality is very poor,leather quality is not good,leather quality is poor"
B08B5CP6FK,negative,inside damage,101,28,1,damaged inside
B0999K5S3P,negative,zip is broken,938,167,1,zip is damaged and also it is dirty here and there
B09DXC2X7F,negative,product doesn't look good,8306,1788,2,"its doesnt look good on me,not good"
B09HTYRYLX,negative,zip quality,1076,247,1,the inner zipper is torn adn quality of zipper not good
B09MB1ZFFN,negative,short strap,268,62,1,belt is also very small cant use as a sling
B09Q1FX34C,negative,design is not good,419,126,2,"dont like this product i am not satisfied,i dont like the product"
B07DBBTW4F,negative,bag is torn,1189,285,1,the inside of the bag started tearing
B07DT1ZGQ7,negative,not as shown in picture,10280,1970,40,"not matched with the photo at all,not as given in the image,not as shown in the picture,not shown as in picture,opposite to what is shown"
B07QPKJZQY,negative,bad quality,4794,893,2,"quality not good,not good quality"
B081LCR2VJ,negative,size issues,21476,3691,1,small size
B09Q1F3WWH,negative,size issues,21476,3691,8,"size is too small and also unstitched from underneath,as it too small for expecting one,item size too small,size is too small,size is too small"
B09Q1JMT13,negative,lock is broken,238,85,1,the lock for the bag is broken
B09Q1JMT13,negative,yellow stains,124,15,1,yellow spots
B0B464X5MJ,negative,looks like used,725,151,1,very poor and it seems used
B0B464X5MJ,negative,sling is not adjustable,120,30,2,"sling is not good,sling not available and torn bag low quality"
B07DT1ZGQ7,negative,bag is torn,1189,285,7,"the bag is torn from both the sides,the inner lining cloth of the handbag is torn,one edge of the bag is torn,the bag was torn and damaged,inside of the bag torn"
B07KSH25Q4,negative,golden color,73,14,1,i am purchase grey color but give golden color
B07LDSPW5Q,negative,bad smell,664,152,2,"very bad product stinks,its too smelly"
B07P41S5PV,negative,waste of money,3189,599,2,"very cheap product waste of money not appropriate,high price"
B07P7P4ZSR,negative,color not good,3861,866,1,color
B07QVZ12Q5,negative,useless for purpose,1464,283,1,no good
B0999FLP38,negative,bad finishing,1129,297,1,quality is not up to the mark
B09M9YL9WG,negative,useless for purpose,1464,283,1,not worth it
B0B464X5MJ,negative,material is not good,4433,960,17,"material is not good,not at all a good product,the material quality is not as expected,did not like the material,material quality is bad"
B0BN6DD5Z6,negative,zip is getting stuck,49,11,1,the zip is stuck and can not be moved
B07LDS62TP,negative,size issues,21476,3691,1,tha bag is too small can not be used as a sling bag and damaged too
B081L5TJLQ,negative,material is not good,4433,960,1,material is not good
B082RDZZJ1,negative,looks old,3077,592,1,the product received is old and used
B083Y1XPMM,negative,bag handle,255,44,6,"in just one use bag handle is broken,bag handle is broken and not fixed to bag,handle of main bag is damage,the bag handle is broken,bag handle been damaged"
B09Q1JVKQW,negative,material is not good,4433,960,2,"material quality is very bad,poor material"
B07BVKZXCV,positive,style look,62,5,1,given the price the style and the quality is good and it is very useful
B083XZYY9H,negative,chain inside the bag,35,8,1,standard beautiful but theres only singh chain inside bag
B083XZYY9H,positive,easy to carry,474,80,1,its looking good and have enough space and easy to carry
B09M9ZGYBF,negative,zip is not working,1508,318,1,didnt t get the product i ordered instead different product came and the zip is not working
B09Q1FYRHD,negative,not as shown in picture,10280,1970,4,"different from photos,the purse slight twisted and not still,it looked like leather but it doesnt t seem to be,different product received"
B07DT1ZGQ7,negative,bad finishing,1129,297,6,"quality seems to be poor finishing is not good,poor finishing not at all good product,the finish is not good,finishing is not good,extremely poor quality"
B07DT1ZGQ7,negative,local product,138,24,2,"very local type item,quality is local"
B07DT1ZGQ7,negative,smelly leather,43,15,1,smelly faux leather
B07MY2FGH2,negative,marks on product,167,37,1,the bag is torn from inside and the outside stitching is not in a straight line and lots of marks on the front and back of the bag
B07R7LLV77,negative,chain quality,276,50,1,the chain on the main bag is defective
B083XZYY9H,negative,zip is not working,1508,318,7,"item is not up to the mark and front zip is not appropriate,there no belt and zip in not working,main bag zip style doesnt good and not suitable for me,zip quality not good of one bag,bag is not fully secured by zips"
B0B464X5MJ,negative,color faded,811,167,3,"the item is damaged in many places the color is also faded,stiches are removed,color is faded and the item is damaged in many places product quality is very much bad"
B0BN6DD5Z6,negative,didn't expect this small size,575,158,2,size is very small
B07K5VMPJG,negative,not leather,624,116,1,it doesnt look like hand bag but like a purse
B07LDJ4DJR,negative,scratch marks,178,62,1,poor packaging just polythene defective product scratch marks / scratches lines
B07NZJBDW7,negative,stitching is not proper,2146,553,1,bag stitching is not proper and damaged
B083XZYY9H,negative,handle is broken,481,111,4,"handle broken as one of the nut who carries handle is broken,its handle is broken,handle broken zip gone bad quality material stitches gone,it does not have teddy and handle is broken"
B083Y1XPMM,negative,doesn't fit properly,1545,527,1,product is good but not in good condition
